sigla_uf,ano,precipitacao_anual_mm_capital,precipitacao_normal_1995_2022_mm,anomalia_precipitacao_pct
AC,1995,1571.6,1747.8,-10.08
AC,1996,1715.6,1747.8,-1.84
AC,1997,1674.9,1747.8,-4.17
AC,1998,1588.8,1747.8,-9.1
AC,1999,1565.0,1747.8,-10.46
AC,2000,1567.6,1747.8,-10.31
AC,2001,1610.5,1747.8,-7.86
AC,2002,1757.8,1747.8,0.57
AC,2003,1592.1,1747.8,-8.91
AC,2004,1596.8,1747.8,-8.64
AC,2005,1560.3,1747.8,-10.73
AC,2006,1504.0,1747.8,-13.95
AC,2007,1672.7,1747.8,-4.3
AC,2008,1875.4,1747.8,7.3
AC,2009,1886.4,1747.8,7.93
AC,2010,1376.7,1747.8,-21.23
AC,2011,1765.9,1747.8,1.03
AC,2012,1971.7,1747.8,12.81
AC,2013,1761.8,1747.8,0.8
AC,2014,2232.2,1747.8,27.71
AC,2015,1838.2,1747.8,5.17
AC,2016,1782.5,1747.8,1.98
AC,2017,1940.2,1747.8,11.01
AC,2018,2008.0,1747.8,14.88
AC,2019,2012.6,1747.8,15.15
AC,2020,2013.8,1747.8,15.22
AC,2021,1763.5,1747.8,0.9
AC,2022,1732.9,1747.8,-0.85
AL,1995,947.4,1149.1,-17.55
AL,1996,1481.2,1149.1,28.9
AL,1997,960.4,1149.1,-16.42
AL,1998,752.1,1149.1,-34.55
AL,1999,805.0,1149.1,-29.95
AL,2000,1553.5,1149.1,35.19
AL,2001,998.0,1149.1,-13.15
AL,2002,1197.7,1149.1,4.23
AL,2003,830.8,1149.1,-27.7
AL,2004,1389.4,1149.1,20.91
AL,2005,1114.6,1149.1,-3.0
AL,2006,1063.5,1149.1,-7.45
AL,2007,1136.6,1149.1,-1.09
AL,2008,1099.8,1149.1,-4.29
AL,2009,1169.2,1149.1,1.75
AL,2010,1066.1,1149.1,-7.23
AL,2011,1541.9,1149.1,34.18
AL,2012,692.3,1149.1,-39.75
AL,2013,1046.2,1149.1,-8.96
AL,2014,1147.9,1149.1,-0.11
AL,2015,807.5,1149.1,-29.73
AL,2016,716.5,1149.1,-37.65
AL,2017,1524.6,1149.1,32.67
AL,2018,1077.9,1149.1,-6.2
AL,2019,1231.1,1149.1,7.13
AL,2020,1371.8,1149.1,19.38
AL,2021,1300.0,1149.1,13.13
AL,2022,2152.5,1149.1,87.32
AM,1995,2549.6,2632.8,-3.16
AM,1996,3173.2,2632.8,20.53
AM,1997,2465.9,2632.8,-6.34
AM,1998,2479.9,2632.8,-5.81
AM,1999,3418.9,2632.8,29.86
AM,2000,3129.0,2632.8,18.85
AM,2001,2692.2,2632.8,2.26
AM,2002,2799.9,2632.8,6.35
AM,2003,2842.5,2632.8,7.97
AM,2004,2848.8,2632.8,8.21
AM,2005,2879.2,2632.8,9.36
AM,2006,3067.0,2632.8,16.49
AM,2007,2825.0,2632.8,7.3
AM,2008,3370.0,2632.8,28.0
AM,2009,2940.1,2632.8,11.67
AM,2010,2607.3,2632.8,-0.97
AM,2011,2950.4,2632.8,12.06
AM,2012,2504.6,2632.8,-4.87
AM,2013,2719.4,2632.8,3.29
AM,2014,2633.2,2632.8,0.02
AM,2015,2332.4,2632.8,-11.41
AM,2016,2625.2,2632.8,-0.29
AM,2017,2025.7,2632.8,-23.06
AM,2018,1975.7,2632.8,-24.96
AM,2019,2145.1,2632.8,-18.52
