id_municipio,expectativa_crescimento_populacional_pct_aa,expectativa_crescimento_pib_per_capita_pct_aa,expectativa_crescimento_va_servicos_pct_aa
1100015,-0.855,12.221,10.78
1100023,1.623,9.674,11.625
1100031,-1.475,12.965,10.778
1100049,1.116,9.263,10.643
1100056,-0.342,13.258,14.07
1100064,-1.222,10.801,9.103
1100072,-1.321,13.734,11.745
1100080,2.127,9.806,9.432
1100098,1.074,9.602,11.32
1100106,0.626,8.687,10.423
1100114,-0.012,10.563,10.963
1100122,1.093,9.747,11.092
1100130,1.888,10.731,12.499
1100148,0.136,12.008,12.084
1100155,-0.393,9.876,9.303
1100189,0.924,11.432,12.076
1100205,1.991,9.871,11.489
1100254,-1.316,12.081,10.013
1100262,0.911,13.428,12.921
1100288,1.081,10.337,11.499
1100296,-2.164,11.608,8.339
1100304,3.047,8.973,12.831
1100320,-0.666,16.379,15.143
1100338,2.884,12.273,14.888
1100346,-1.683,11.794,9.063
1100379,-0.325,13.133,12.1
1100403,1.451,12.073,14.676
1100452,0.539,12.162,14.02
1100502,-2.041,12.091,8.649
1100601,-0.365,11.211,10.22
1100700,-0.993,14.16,11.356
1100809,2.781,11.128,15.016
1100908,-1.149,11.356,7.69
1100924,2.91,11.485,15.171
1100940,4.82,9.231,14.02
1101005,-2.987,13.298,8.722
1101104,1.349,9.599,8.973
1101203,-1.879,14.565,13.01
1101302,-1.371,12.206,11.38
1101401,-0.101,12.033,12.011
1101435,-1.211,10.83,8.78
1101450,1.741,10.928,9.847
1101468,-0.607,17.047,14.026
1101476,-1.606,11.665,7.005
1101484,-1.313,11.671,9.953
1101492,1.516,11.916,12.352
1101500,-0.15,12.388,12.861
1101559,-1.211,11.598,9.713
1101609,-1.305,11.639,8.907
1101708,-1.563,12.016,10.777
1101757,0.373,11.446,12.012
1101807,-1.885,11.415,7.75
1200013,2.772,9.816,16.247
1200054,4.022,9.243,12.443
1200104,2.152,10.503,13.713
1200138,3.331,9.608,15.427
1200179,3.248,10.633,15.673
1200203,1.383,10.185,12.874
1200252,2.424,10.983,16.054
1200302,1.201,10.358,13.352
1200328,3.565,7.926,12.85
1200336,2.577,9.234,13.902
1200344,2.685,10.106,15.279
1200351,3.878,7.809,14.815
1200385,0.671,12.689,15.35
1200393,3.851,8.442,15.214
1200401,1.91,7.684,9.951
1200427,3.4,8.4,13.684
1200435,4.918,7.989,12.366
1200450,0.438,13.367,13.57
1200500,1.866,8.226,11.116
1200609,2.602,9.648,13.716
1200708,2.209,11.263,13.637
1200807,1.997,10.854,17.04
1300029,1.194,9.023,13.135
1300060,1.871,10.026,13.915
1300086,2.684,7.926,13.181
1300102,2.358,9.646,12.184
1300144,1.674,9.834,14.25
1300201,2.485,9.003,11.433
1300300,2.549,7.464,13.27
1300409,-1.035,10.903,12.695
1300508,1.587,9.486,14.229
1300607,2.646,7.623,7.777
1300631,2.921,8.945,15.003
1300680,3.707,9.442,15.389
1300706,1.465,10.528,13.345
1300805,0.89,7.455,10.805
1300839,2.022,6.952,4.352
1300904,2.421,9.776,13.556
1301001,1.038,7.539,9.459
1301100,1.245,8.021,12.648
1301159,1.571,3.059,2.687
1301209,0.318,7.073,10.292
1301308,1.708,9.787,4.376
1301407,1.294,10.934,10.899
1301506,-0.19,10.699,13.925
1301605,-1.727,9.723,10.546
1301654,0.564,9.159,13.584
1301704,3.16,10.155,15.29
1301803,2.639,8.86,14.657
1301852,2.688,9.501,14.343
1301902,1.833,11.002,15.881
1301951,1.107,10.033,14.28
1302009,1.357,10.672,14.275
1302108,-1.869,13.996,16.486
1302207,2.903,8.938,14.42
1302306,-0.238,10.67,14.482
1302405,2.635,10.201,12.728
1302504,1.568,7.21,10.517
1302553,2.634,8.924,13.253
1302603,2.033,7.66,10.139
1302702,1.994,9.841,13.802
1302801,-0.415,9.968,13.308
1302900,2.16,9.095,11.845
1303007,1.435,9.099,12.859
1303106,0.955,9.749,13.276
1303205,3.444,9.466,13.401
1303304,1.594,9.401,13.154
1303403,0.471,8.492,10.051
1303502,0.754,10.101,14.386
1303536,2.767,7.436,12.743
1303569,1.768,7.966,12.064
1303601,3.153,8.715,12.567
1303700,-0.537,11.296,11.471
1303809,2.553,8.779,9.196
1303908,1.873,8.817,13.565
1303957,2.54,9.572,15.422
1304005,1.553,13.348,11.016
1304062,2.769,9.818,15.69
1304104,-0.072,11.525,14.696
1304203,0.407,10.241,10.794
1304237,0.831,10.678,17.292
1304260,1.304,10.923,16.778
1304302,-0.377,8.914,11.419
1304401,3.949,7.79,12.041
1400027,4.809,8.393,16.102
1400050,0.272,12.113,12.064
1400100,3.688,7.626,11.619
1400159,1.54,12.511,15.883
1400175,3.79,8.805,11.923
1400209,1.808,8.874,9.821
1400233,3.284,9.427,13.37
1400282,3.797,8.853,13.077
1400308,2.531,9.161,12.53
1400407,4.374,7.9,9.351
1400456,5.195,5.739,9.851
1400472,2.74,9.853,16.739
1400506,2.809,11.66,14.379
1400605,1.578,9.28,10.324
1400704,4.125,8.718,16.351
1500107,1.474,10.411,13.56
1500131,0.31,6.532,9.121
1500206,0.422,11.484,9.309
1500305,1.16,9.017,8.535
1500347,-0.828,15.527,15.204
1500404,2.489,11.23,9.905
1500503,0.206,2.575,2.23
1500602,2.369,10.641,14.146
1500701,2.16,9.66,10.6
1500800,0.972,9.636,11.0
1500859,6.648,8.59,18.793
1500909,1.653,9.618,11.095
1500958,1.131,7.811,9.902
1501006,0.493,12.188,10.461
1501105,4.393,7.738,9.651
1501204,4.5,8.719,11.771
1501253,0.325,8.361,7.29
1501303,3.387,6.801,8.046
1501402,0.387,7.615,7.644
1501451,0.887,11.882,12.324
1501501,2.683,12.933,13.901
1501576,1.509,10.345,11.427
1501600,1.662,9.071,13.006
1501709,1.466,10.387,11.858
1501725,1.008,10.374,14.178
1501758,-0.371,11.087,10.454
1501782,1.938,5.968,11.348
1501808,1.482,9.162,9.832
1501907,0.812,9.599,8.612
1501956,1.832,8.913,12.131
1502004,2.042,9.766,13.292
1502103,1.7,8.82,10.733
1502152,8.923,19.137,35.35
1502202,1.08,9.305,12.331
1502301,0.658,11.288,12.378
1502400,1.833,10.819,12.364
1502509,1.223,9.563,9.911
1502608,0.777,9.936,9.428
1502707,0.395,10.087,9.589
1502756,1.497,11.594,13.779
1502764,4.303,8.221,15.023
1502772,0.498,14.412,21.412
1502806,2.613,10.245,12.455
1502855,2.175,8.642,11.926
1502905,2.212,9.754,10.923
1502939,1.786,9.185,12.727
1502954,-0.362,13.477,14.085
1503002,-1.469,11.706,11.443
1503044,1.341,11.963,14.061
1503077,0.14,11.758,11.23
1503093,1.146,9.396,10.251
1503101,1.678,10.974,12.106
1503200,0.646,10.63,11.71
1503309,0.962,10.567,10.495
1503408,1.668,11.724,10.433
1503457,1.925,6.313,10.043
1503507,0.346,10.066,9.699
1503606,1.224,12.262,14.762
1503705,-0.132,12.704,13.436
1503754,-1.511,18.256,15.807
1503804,0.323,9.793,10.126
1503903,2.566,11.588,19.327
1504000,2.067,8.347,9.577
1504059,1.677,9.473,11.231
1504109,0.421,11.511,10.433
1504208,2.339,10.094,12.174
1504307,,11.094,10.844
1504406,0.454,9.569,9.033
1504422,2.007,9.858,16.258
1504455,1.526,9.155,11.904
1504505,1.274,11.54,11.37
1504604,1.696,10.078,10.864
1504703,2.246,12.161,13.768
1504752,3.886,3.899,11.922
1504802,-0.014,10.902,9.757
1504901,2.78,8.42,11.109
1504950,-0.027,12.308,13.919
1504976,0.935,11.033,12.141
1505007,0.815,9.795,10.837
1505031,0.605,14.268,17.492
1505064,2.075,10.774,14.296
1505106,0.656,9.013,9.656
1505205,1.817,10.631,11.536
1505304,1.842,3.339,5.521
1505403,1.081,9.774,10.214
1505437,2.727,12.728,17.689
1505486,2.071,11.383,14.846
1505494,-0.449,11.901,10.849
1505502,1.695,9.637,13.567
