sigla_uf,populacao_ibge_2022,populacao_ibge_2033,expectativa_crescimento_populacional_ibge_pct_aa
AC,919145.0,1041392.0,1.141646410095487
AL,3378277.0,3485617.0,0.28476155775676304
AM,4331430.0,4941934.0,1.2059317037070638
AP,893253.0,1051422.0,1.4931187159414439
BA,15036517.0,15353402.0,0.1897741061633207
CE,9293112.0,9704871.0,0.3949090263956512
DF,3130014.0,3487020.0,0.9867458730207002
ES,4151923.0,4550497.0,0.8367986348127854
GO,7300083.0,8139722.0,0.9946441098046988
MA,7191041.0,7523757.0,0.41202530523440917
MG,21526076.0,22369292.0,0.3499206890814843
MS,2868279.0,3139518.0,0.8248110369612149
MT,3607400.0,3985234.0,0.909646357792826
PA,8861974.0,9665694.0,0.7923350060927037
PB,4079917.0,4237853.0,0.34587064782463095
PE,9731843.0,10214587.0,0.44109272881371897
PI,3295812.0,3328513.0,0.08979562059159285
PR,11675661.0,12333987.0,0.49990175943039894
RJ,17556065.0,18254703.0,0.3553870183986785
RN,3586972.0,3813882.0,0.5591865118887762
RO,1833642.0,1997286.0,0.7801648767514546
RR,670267.0,787104.0,1.471487203972921
RS,11507906.0,11767342.0,0.202876333998514
SC,7422480.0,8189289.0,0.8977682330040704
SE,2357840.0,2528046.0,0.6356547332449614
SP,46997428.0,49963489.0,0.5579109393173853
TO,1624183.0,1783128.0,0.8523777296999269
