id_municipio,projecao_2033,inclinacao_aa,n_obs,classificacao_2033,sigla_uf,regiao,porte,populacao_urbana,tendencia_icr_sm_aa
1100015,114.22156862745032,2.362254901960829,17.0,on_track,RO,Norte,5-20 mil,12896.0,-0.13463196804208455
1100023,94.79338766593901,1.2512224836162118,23.0,at_risk,RO,Norte,50-100 mil,94137.0,-0.5602244822901468
1100031,130.7776928247349,2.5980885565451155,23.0,on_track,RO,Norte,<5 mil,2161.0,-0.37510155729382294
1100049,108.21063928207934,0.4538440188731281,18.0,on_track,RO,Norte,50-100 mil,68101.0,-0.1855618638833967
1100056,75.23070072256735,0.3907662577717932,23.0,will_not_meet,RO,Norte,5-20 mil,13622.0,-0.26926668079109806
1100064,109.04551219512291,0.605463414634183,24.0,on_track,RO,Norte,5-20 mil,11176.0,-0.25258211216964865
1100072,97.80970588235459,1.2658823529412517,16.0,at_risk,RO,Norte,<5 mil,2080.0,-0.4041874790961554
1100080,3.10871794871764,-1.899487179487217,26.0,will_not_meet,RO,Norte,5-20 mil,10554.0,-0.48388135797256515
1100098,67.08369762106076,0.6074749426397785,25.0,will_not_meet,RO,Norte,20-50 mil,23680.0,-0.42855751837458766
1100106,37.99049572649528,-0.9493675213675318,26.0,will_not_meet,RO,Norte,20-50 mil,39665.0,-0.7404414974839885
1100114,93.2816068376078,1.723111111111128,26.0,at_risk,RO,Norte,20-50 mil,34756.0,-0.7257447296500128
1100122,80.93213675213678,0.6929914529914613,26.0,will_not_meet,RO,Norte,100-500 mil,117821.0,-0.6385303871456272
1100130,57.52235237290188,-0.3584711991305187,25.0,will_not_meet,RO,Norte,20-50 mil,21673.0,-0.18167855837489896
1100148,105.0573349016961,0.9900352881868271,23.0,on_track,RO,Norte,5-20 mil,8646.0,-0.08941031384535779
1100155,94.6824651319107,0.5554654679885785,23.0,at_risk,RO,Norte,20-50 mil,26335.0,-0.5808955348408503
1100189,84.08883380944428,-0.5012392875146766,23.0,will_not_meet,RO,Norte,20-50 mil,32266.0,-0.32454244483422434
1100205,18.540068376068575,-1.2476581196581333,26.0,will_not_meet,RO,Norte,500 mil+,500537.0,-0.5158924008352779
1100254,91.03425641025638,0.2032820512820495,26.0,at_risk,RO,Norte,5-20 mil,10827.0,-0.22102398354503203
1100262,0.0,-3.163506133422931,23.0,will_not_meet,RO,Norte,<5 mil,1233.0,-0.11012529977503313
1100288,118.71935042735004,1.7989059829059908,26.0,on_track,RO,Norte,20-50 mil,45601.0,-0.7653209902294832
1100296,121.8277684422792,2.4747899512686997,23.0,on_track,RO,Norte,<5 mil,3026.0,-0.16671727655002938
1100304,96.42330030748207,-0.11265069061447384,22.0,at_risk,RO,Norte,50-100 mil,99053.0,-0.040404865322715894
1100320,39.99645682834509,-0.08689370485037619,18.0,will_not_meet,RO,Norte,5-20 mil,8982.0,-0.879177906663772
1100338,9.345059829059437,-0.563623931623946,26.0,will_not_meet,RO,Norte,5-20 mil,18653.0,-0.36841634983548405
1100346,98.47569676700108,-0.01157562244518961,19.0,at_risk,RO,Norte,5-20 mil,7229.0,-0.22729108951699656
1100379,128.27649006622414,3.923344370860697,9.0,on_track,RO,Norte,<5 mil,3786.0,0.02077831809791158
1100403,6.851865232733985,-0.48303226348513045,23.0,will_not_meet,RO,Norte,5-20 mil,10654.0,-0.73228599918883
1100452,50.795238095238346,2.3571428571428568,6.0,will_not_meet,RO,Norte,20-50 mil,22968.0,0.8684644226500637
1100502,127.92450848596854,1.6014409342967437,23.0,on_track,RO,Norte,<5 mil,1375.0,0.13751217529290682
1100601,2.49713493530453,-2.0644639556377395,23.0,will_not_meet,RO,Norte,<5 mil,2275.0,-0.37672077562032213
1100700,121.43838709677357,1.6309677419354323,14.0,on_track,RO,Norte,<5 mil,3830.0,
1100809,63.783977482775526,-0.760506637539922,23.0,will_not_meet,RO,Norte,5-20 mil,18288.0,-0.11908966750846729
1100908,90.99277432364298,0.03742228196941407,23.0,at_risk,RO,Norte,<5 mil,684.0,-0.12079218937776244
1100924,61.755281690140464,-0.7570422535211337,4.0,will_not_meet,RO,Norte,5-20 mil,5187.0,0.0512545382679715
1100940,0.0,-3.3998870694522916,22.0,will_not_meet,RO,Norte,5-20 mil,18898.0,-0.3620610345931679
1101005,,,1.0,,RO,Norte,<5 mil,1672.0,
1101104,38.96829836829511,-2.3604895104898076,12.0,will_not_meet,RO,Norte,5-20 mil,6262.0,0.0
1101203,89.8569734613213,0.14839073969508906,22.0,at_risk,RO,Norte,<5 mil,2809.0,-0.06794247266114081
1101302,42.73827067669218,-0.04240601503757017,20.0,will_not_meet,RO,Norte,5-20 mil,5800.0,-0.2868009673103865
1101401,79.09655520080628,0.9224920181482008,23.0,will_not_meet,RO,Norte,5-20 mil,8474.0,-0.8089029675670356
1101435,78.28130999435416,0.012704686617760249,22.0,will_not_meet,RO,Norte,<5 mil,1403.0,-0.25269055814958913
1101450,43.224761904761635,-1.67701298701301,21.0,will_not_meet,RO,Norte,<5 mil,2331.0,-0.3466296186874422
1101468,93.48235294117654,-0.20735294117647357,17.0,at_risk,RO,Norte,<5 mil,1187.0,-0.16151122467460918
1101476,58.887878787878435,-1.5024242424243073,10.0,will_not_meet,RO,Norte,<5 mil,1259.0,-0.030483213047634395
1101484,95.89887069452266,0.19186900056464493,22.0,at_risk,RO,Norte,<5 mil,1191.0,-0.8098443873017478
1101492,32.65000000000282,1.4500000000001723,3.0,will_not_meet,RO,Norte,5-20 mil,10820.0,-0.052103844611761194
1101500,70.27354284179478,0.5013967230728112,18.0,will_not_meet,RO,Norte,<5 mil,4479.0,-0.8945328833943191
1101559,11.197684923773068,-1.4512140033879177,22.0,will_not_meet,RO,Norte,<5 mil,1460.0,-1.3627960320266785
