id_municipio,projecao_2033_esgoto,inclinacao_esgoto_aa,n_obs_esgoto,classificacao_2033_esgoto,sigla_uf,regiao,porte,populacao_urbana
1100015,,,0.0,,RO,Norte,5-20 mil,12896.0
1100023,1.1527380952368844,-0.17119047619057,8.0,will_not_meet,RO,Norte,50-100 mil,94137.0
1100031,,,0.0,,RO,Norte,<5 mil,2161.0
1100049,28.82036764706072,-0.510073529411681,17.0,will_not_meet,RO,Norte,50-100 mil,68101.0
1100056,150.0,5.235714285714926,3.0,on_track,RO,Norte,5-20 mil,13622.0
1100064,,,1.0,,RO,Norte,5-20 mil,11176.0
1100072,,,0.0,,RO,Norte,<5 mil,2080.0
1100080,,,1.0,,RO,Norte,5-20 mil,10554.0
1100098,2.809999999999974,-0.0640000000000085,5.0,will_not_meet,RO,Norte,20-50 mil,23680.0
1100106,28.943753799392198,0.351601823708204,21.0,will_not_meet,RO,Norte,20-50 mil,39665.0
1100114,,,1.0,,RO,Norte,20-50 mil,34756.0
1100122,2.48505760368667,0.06930875576037131,4.0,will_not_meet,RO,Norte,100-500 mil,117821.0
1100130,,,0.0,,RO,Norte,20-50 mil,21673.0
1100148,59.13333333333139,3.3249999999999673,3.0,will_not_meet,RO,Norte,5-20 mil,8646.0
1100155,,,0.0,,RO,Norte,20-50 mil,26335.0
1100189,6.9898095238088445,0.2717142857142378,6.0,will_not_meet,RO,Norte,20-50 mil,32266.0
1100205,20.633267477203503,0.38828267477202927,21.0,will_not_meet,RO,Norte,500 mil+,500537.0
1100254,23.209968652038242,0.6421316614420194,4.0,will_not_meet,RO,Norte,5-20 mil,10827.0
1100262,,,0.0,,RO,Norte,<5 mil,1233.0
1100288,6.067724317295188,0.10807867360208329,7.0,will_not_meet,RO,Norte,20-50 mil,45601.0
1100296,,,0.0,,RO,Norte,<5 mil,3026.0
1100304,,,0.0,,RO,Norte,50-100 mil,99053.0
1100320,,,0.0,,RO,Norte,5-20 mil,8982.0
1100338,,,1.0,,RO,Norte,5-20 mil,18653.0
1100346,129.31280867511578,3.543077088254204,17.0,on_track,RO,Norte,5-20 mil,7229.0
1100379,,,0.0,,RO,Norte,<5 mil,3786.0
1100403,,,0.0,,RO,Norte,5-20 mil,10654.0
1100452,,,0.0,,RO,Norte,20-50 mil,22968.0
1100502,,,0.0,,RO,Norte,<5 mil,1375.0
1100601,150.0,13.30600000000022,4.0,on_track,RO,Norte,<5 mil,2275.0
1100700,,,0.0,,RO,Norte,<5 mil,3830.0
1100809,,,0.0,,RO,Norte,5-20 mil,18288.0
1100908,,,0.0,,RO,Norte,<5 mil,684.0
1100924,,,0.0,,RO,Norte,5-20 mil,5187.0
1100940,,,0.0,,RO,Norte,5-20 mil,18898.0
1101005,,,0.0,,RO,Norte,<5 mil,1672.0
1101104,,,0.0,,RO,Norte,5-20 mil,6262.0
1101203,,,0.0,,RO,Norte,<5 mil,2809.0
1101302,,,0.0,,RO,Norte,5-20 mil,5800.0
1101401,,,0.0,,RO,Norte,5-20 mil,8474.0
1101435,,,0.0,,RO,Norte,<5 mil,1403.0
1101450,,,2.0,,RO,Norte,<5 mil,2331.0
1101468,,,0.0,,RO,Norte,<5 mil,1187.0
1101476,,,0.0,,RO,Norte,<5 mil,1259.0
1101484,,,0.0,,RO,Norte,<5 mil,1191.0
1101492,,,0.0,,RO,Norte,5-20 mil,10820.0
1101500,,,2.0,,RO,Norte,<5 mil,4479.0
1101559,,,0.0,,RO,Norte,<5 mil,1460.0
1101609,,,0.0,,RO,Norte,<5 mil,1922.0
1101708,,,0.0,,RO,Norte,<5 mil,4387.0
1101757,,,0.0,,RO,Norte,<5 mil,3927.0
1101807,,,0.0,,RO,Norte,<5 mil,1799.0
1200013,,,0.0,,AC,Norte,5-20 mil,7418.0
1200054,,,0.0,,AC,Norte,<5 mil,4661.0
1200104,17.54154761904738,0.44988095238094256,8.0,will_not_meet,AC,Norte,5-20 mil,18071.0
1200138,0.0,-0.5677862595419068,4.0,will_not_meet,AC,Norte,<5 mil,4609.0
1200179,,,0.0,,AC,Norte,5-20 mil,5484.0
1200203,,,0.0,,AC,Norte,50-100 mil,63256.0
1200252,,,0.0,,AC,Norte,5-20 mil,13346.0
1200302,,,0.0,,AC,Norte,5-20 mil,17957.0
1200328,,,2.0,,AC,Norte,<5 mil,2981.0
1200336,150.0,9.40722772277259,5.0,on_track,AC,Norte,5-20 mil,11303.0
1200344,,,0.0,,AC,Norte,5-20 mil,6415.0
1200351,,,0.0,,AC,Norte,5-20 mil,5503.0
1200385,0.0,-8.924970149253522,7.0,will_not_meet,AC,Norte,5-20 mil,12154.0
