id_municipio,projecao_icr_2033_linear,inclinacao_icr_aa,n_obs,sigla_uf,regiao,porte,icr_sm_ultimo_observado,variacao_pp_ultimo_2033,acima_limite_internacional_2033
1100015,1.8223435161785915,-0.13463196804208455,15.0,RO,Norte,5-20 mil,4.554876042472234,-2.7325325262936424,False
1100023,0.0,-0.5602244822901468,24.0,RO,Norte,50-100 mil,6.916069440016879,-6.916069440016879,False
1100031,2.80719224051154,-0.37510155729382294,24.0,RO,Norte,<5 mil,5.770058762828775,-2.962866522317235,False
1100049,2.5866599004460795,-0.1855618638833967,18.0,RO,Norte,50-100 mil,4.399955164633055,-1.8132952641869755,False
1100056,3.7722251199581933,-0.26926668079109806,24.0,RO,Norte,5-20 mil,5.5245829069638805,-1.7523577870056872,False
1100064,3.8019965000785305,-0.25258211216964865,25.0,RO,Norte,5-20 mil,5.578020849521105,-1.776024349442575,False
1100072,1.2206487538643387,-0.4041874790961554,17.0,RO,Norte,<5 mil,5.828447825200274,-4.607799071335935,False
1100080,4.032783932527877,-0.48388135797256515,26.0,RO,Norte,5-20 mil,7.524713438049413,-3.4919295055215356,False
1100098,1.067758217997266,-0.42855751837458766,26.0,RO,Norte,20-50 mil,5.737206812940872,-4.669448594943606,False
1100106,0.0,-0.7404414974839885,26.0,RO,Norte,20-50 mil,8.307609941020996,-8.307609941020996,False
1100114,0.0,-0.7257447296500128,27.0,RO,Norte,20-50 mil,5.281938229234841,-5.281938229234841,False
1100122,0.0,-0.6385303871456272,27.0,RO,Norte,100-500 mil,4.537207198542435,-4.537207198542435,False
1100130,5.269686840545035,-0.18167855837489896,25.0,RO,Norte,20-50 mil,5.622721534559982,-0.3530346940149478,True
1100148,8.418148285473052,-0.08941031384535779,22.0,RO,Norte,5-20 mil,8.952995896966485,-0.5348476114934329,True
1100155,0.0,-0.5808955348408503,24.0,RO,Norte,20-50 mil,5.365980253188162,-5.365980253188162,False
1100189,3.6390971823431073,-0.32454244483422434,24.0,RO,Norte,20-50 mil,7.945799738859498,-4.306702556516391,False
1100205,2.62432578804669,-0.5158924008352779,27.0,RO,Norte,500 mil+,6.790236640597247,-4.1659108525505575,False
1100254,5.11464061606415,-0.22102398354503203,26.0,RO,Norte,5-20 mil,5.762089535673143,-0.6474489196089923,True
1100262,11.664785271932345,-0.11012529977503313,24.0,RO,Norte,<5 mil,8.903766348857108,2.7610189230752376,True
1100288,0.0,-0.7653209902294832,27.0,RO,Norte,20-50 mil,7.554289475672227,-7.554289475672227,False
1100296,6.7621329491917095,-0.16671727655002938,23.0,RO,Norte,<5 mil,6.841114572622312,-0.07898162343060289,True
1100304,2.2538296529234145,-0.040404865322715894,23.0,RO,Norte,50-100 mil,2.6751522128574234,-0.4213225599340089,False
1100320,0.0,-0.879177906663772,19.0,RO,Norte,5-20 mil,7.634314080242771,-7.634314080242771,False
1100338,5.457474257917056,-0.36841634983548405,26.0,RO,Norte,5-20 mil,7.789627684813211,-2.332153426896155,True
1100346,1.1945882023112517,-0.22729108951699656,19.0,RO,Norte,5-20 mil,5.674998001730676,-4.480409799419424,False
1100379,3.8230338716319494,0.02077831809791158,7.0,RO,Norte,<5 mil,4.2089518329877045,-0.38591796135575507,False
1100403,0.0,-0.73228599918883,24.0,RO,Norte,5-20 mil,6.70169193806173,-6.70169193806173,False
1100452,18.483563435969018,0.8684644226500637,7.0,RO,Norte,20-50 mil,7.759783059838165,10.723780376130852,True
1100502,9.333420059498962,0.13751217529290682,24.0,RO,Norte,<5 mil,4.822513770042162,4.5109062894568,True
1100601,4.538670304284551,-0.37672077562032213,24.0,RO,Norte,<5 mil,10.16397134505117,-5.625301040766619,False
1100700,,,2.0,RO,Norte,<5 mil,0.4827688651218063,,False
1100809,6.606071047995357,-0.11908966750846729,24.0,RO,Norte,5-20 mil,5.255888544531074,1.350182503464283,True
1100908,6.8450137929637265,-0.12079218937776244,24.0,RO,Norte,<5 mil,6.399878617669459,0.4451351752942676,True
1100924,2.8902318033682803,0.0512545382679715,4.0,RO,Norte,5-20 mil,2.584016423802028,0.30621537956625255,False
1100940,5.534874110752298,-0.3620610345931679,23.0,RO,Norte,5-20 mil,8.109665724709902,-2.574791613957604,True
1101005,,,1.0,RO,Norte,<5 mil,0.0,,False
1101104,0.0,0.0,12.0,RO,Norte,5-20 mil,0.0,0.0,False
1101203,8.869607959958643,-0.06794247266114081,23.0,RO,Norte,<5 mil,5.359829552449829,3.509778407508813,True
1101302,4.052664627717263,-0.2868009673103865,21.0,RO,Norte,5-20 mil,5.308976563961922,-1.2563119362446589,False
1101401,0.0,-0.8089029675670356,24.0,RO,Norte,5-20 mil,5.735062579360958,-5.735062579360958,False
1101435,5.232833971255559,-0.25269055814958913,23.0,RO,Norte,<5 mil,6.112709992590169,-0.87987602133461,True
1101450,3.60149578159826,-0.3466296186874422,22.0,RO,Norte,<5 mil,5.643373302494183,-2.0418775208959232,False
1101468,6.089750187623451,-0.16151122467460918,17.0,RO,Norte,<5 mil,6.225935909268893,-0.1361857216454414,True
1101476,3.774419612403186,-0.030483213047634395,10.0,RO,Norte,<5 mil,4.223875473484848,-0.44945586108166236,False
1101484,0.0,-0.8098443873017478,23.0,RO,Norte,<5 mil,4.246074140460023,-4.246074140460023,False
1101492,2.456367565294485,-0.052103844611761194,3.0,RO,Norte,5-20 mil,2.946863058016328,-0.490495492721843,False
1101500,0.0,-0.8945328833943191,17.0,RO,Norte,<5 mil,6.39978402757029,-6.39978402757029,False
1101559,0.0,-1.3627960320266785,23.0,RO,Norte,<5 mil,7.018029869024639,-7.018029869024639,False
1101609,6.641509303514027,-0.06401652217577478,19.0,RO,Norte,<5 mil,5.718834430672286,0.9226748728417418,True
1101708,5.239040551716641,-0.19761279685981695,23.0,RO,Norte,<5 mil,5.543110775085291,-0.3040702233686492,True
1101757,7.2389892098559585,-0.07812334590743644,19.0,RO,Norte,<5 mil,6.43632633252064,0.8026628773353188,True
1101807,0.0,-1.019783902487895,13.0,RO,Norte,<5 mil,0.0,0.0,False
1200013,0.0,-0.23422009235478103,25.0,AC,Norte,5-20 mil,2.954491520227221,-2.954491520227221,False
1200054,6.602849796014141,0.16656384055198245,18.0,AC,Norte,<5 mil,3.4152651127705616,3.1875846832435792,True
1200104,0.0,-0.56133579184595,25.0,AC,Norte,5-20 mil,2.8524055890612106,-2.8524055890612106,False
