sigla_uf,ano,renda_media_estadual_pnadc
AC,2012,2898.75
AC,2013,2771.0
AC,2014,2693.25
AC,2015,2665.5
AC,2016,2587.0
AC,2017,2656.25
AC,2018,2563.0
AC,2019,2685.0
AC,2020,2583.0
AC,2022,2698.6666666666665
AL,2012,2017.0
AL,2013,2080.25
AL,2014,2197.75
AL,2015,2210.25
AL,2016,2120.0
AL,2017,2065.5
AL,2018,2230.25
AL,2019,2264.75
AL,2020,2290.0
AL,2022,2193.6666666666665
AM,2012,2894.0
AM,2013,2839.25
AM,2014,2847.0
AM,2015,2743.5
AM,2016,2508.25
AM,2017,2705.75
AM,2018,2506.0
AM,2019,2462.5
AM,2020,2460.0
AM,2022,2483.0
AP,2012,2812.5
AP,2013,2878.5
AP,2014,3105.0
AP,2015,2988.0
AP,2016,3170.25
AP,2017,3302.5
AP,2018,2895.25
AP,2019,2733.5
AP,2020,2721.0
AP,2022,2769.6666666666665
BA,2012,2138.0
BA,2013,2157.5
BA,2014,2221.75
BA,2015,2223.25
BA,2016,2103.5
BA,2017,2225.5
BA,2018,2293.5
BA,2019,2223.0
BA,2020,2338.0
BA,2022,2028.0
CE,2012,2109.0
CE,2013,2227.75
CE,2014,2202.75
CE,2015,2167.0
CE,2016,2119.5
CE,2017,2172.25
CE,2018,2277.5
CE,2019,2375.0
CE,2020,2348.0
CE,2022,2159.0
DF,2012,6132.5
DF,2013,6149.25
DF,2014,5738.75
DF,2015,5987.5
DF,2016,5781.75
DF,2017,5689.25
DF,2018,5854.0
DF,2019,5709.25
DF,2020,5505.0
DF,2022,5570.0
ES,2012,3011.5
ES,2013,3104.75
ES,2014,3165.5
ES,2015,3156.75
ES,2016,3108.75
ES,2017,3144.25
ES,2018,3101.0
ES,2019,3154.25
ES,2020,3147.0
ES,2022,3195.3333333333335
GO,2012,3115.25
GO,2013,3221.0
GO,2014,3227.75
GO,2015,3095.75
GO,2016,3000.0
GO,2017,3130.25
GO,2018,3092.75
GO,2019,3069.0
GO,2020,3140.0
GO,2022,3113.3333333333335
MA,2012,1734.75
MA,2013,1773.5
MA,2014,1712.0
MA,2015,1722.75
MA,2016,1746.25
MA,2017,1927.0
MA,2018,1977.75
MA,2019,1972.5
MA,2020,1999.0
MA,2022,1982.3333333333333
MG,2012,2818.0
MG,2013,2897.0
MG,2014,2978.25
MG,2015,2919.0
MG,2016,2843.25
MG,2017,2871.0
MG,2018,2918.0
MG,2019,2881.0
MG,2020,2936.0
MG,2022,2881.3333333333335
MS,2012,3156.5
MS,2013,3214.25
MS,2014,3269.75
MS,2015,3147.25
MS,2016,3210.5
MS,2017,3375.25
MS,2018,3456.25
MS,2019,3464.0
MS,2020,3329.0
MS,2022,3587.6666666666665
MT,2012,3289.25
MT,2013,3357.75
MT,2014,3368.0
MT,2015,3247.25
MT,2016,3172.5
MT,2017,3308.0
MT,2018,3385.0
MT,2019,3339.5
MT,2020,3331.0
MT,2022,3556.6666666666665
PA,2012,2278.5
PA,2013,2267.5
PA,2014,2296.75
PA,2015,2146.5
PA,2016,2112.75
PA,2017,2165.0
PA,2018,2248.75
PA,2019,2230.75
PA,2020,2249.0
PA,2022,2363.0
PB,2012,1969.75
PB,2013,2074.0
PB,2014,2273.0
PB,2015,2289.5
PB,2016,2229.25
PB,2017,2387.0
PB,2018,2432.25
PB,2019,2438.75
PB,2020,2390.0
PB,2022,2390.6666666666665
PE,2012,2660.25
PE,2013,2842.0
PE,2014,2949.75
PE,2015,2586.0
PE,2016,2452.25
PE,2017,2533.75
PE,2018,2518.5
PE,2019,2475.5
PE,2020,2445.0
PE,2022,2212.6666666666665
PI,2012,1889.25
PI,2013,2030.5
PI,2014,2073.0
PI,2015,2077.25
PI,2016,2088.25
PI,2017,2142.25
PI,2018,2074.5
PI,2019,2099.0
PI,2020,2011.0
PI,2022,2346.3333333333335
PR,2012,3455.25
PR,2013,3540.75
PR,2014,3625.0
PR,2015,3554.75
PR,2016,3420.0
PR,2017,3497.75
PR,2018,3552.75
PR,2019,3654.25
PR,2020,3617.0
PR,2022,3435.0
RJ,2012,3392.25
RJ,2013,3509.0
RJ,2014,3568.25
RJ,2015,3541.5
RJ,2016,3613.5
RJ,2017,3523.0
RJ,2018,3694.25
RJ,2019,3888.5
RJ,2020,4018.0
RJ,2022,3883.0
RN,2012,2190.75
RN,2013,2281.5
RN,2014,2386.75
RN,2015,2491.0
RN,2016,2441.25
RN,2017,2433.5
RN,2018,2441.75
RN,2019,2581.25
RN,2020,2776.0
RN,2022,2429.3333333333335
RO,2012,2692.0
RO,2013,2663.75
RO,2014,2706.0
RO,2015,2694.25
RO,2016,2569.5
RO,2017,2678.75
RO,2018,2893.5
RO,2019,2855.0
RO,2020,2851.0
RO,2022,2913.0
RR,2012,3302.0
RR,2013,3492.75
RR,2014,3416.5
RR,2015,3351.25
RR,2016,3212.0
RR,2017,3194.5
RR,2018,3290.0
RR,2019,3280.5
RR,2020,3204.0
RR,2022,2920.0
RS,2012,3399.5
RS,2013,3606.75
RS,2014,3596.75
RS,2015,3498.5
RS,2016,3513.75
RS,2017,3576.25
RS,2018,3546.75
RS,2019,3614.25
RS,2020,3580.0
RS,2022,3607.3333333333335
SC,2012,3456.0
SC,2013,3502.75
SC,2014,3593.0
SC,2015,3518.25
SC,2016,3347.75
SC,2017,3550.5
SC,2018,3572.0
SC,2019,3605.5
SC,2020,3620.0
SC,2022,3615.3333333333335
SE,2012,2392.5
SE,2013,2527.5
SE,2014,2766.0
SE,2015,2464.25
SE,2016,2504.5
SE,2017,2447.0
SE,2018,2383.25
SE,2019,2296.75
SE,2020,2385.0
SE,2022,2272.0
SP,2012,4103.75
SP,2013,4203.75
SP,2014,4374.25
SP,2015,4405.25
SP,2016,4281.75
SP,2017,4276.0
SP,2018,4328.5
SP,2019,4290.0
SP,2020,4420.0
SP,2022,3992.3333333333335
TO,2012,2635.0
TO,2013,2579.25
TO,2014,2589.5
TO,2015,2771.0
TO,2016,2636.5
TO,2017,2703.0
TO,2018,2764.0
TO,2019,2695.25
TO,2020,2650.0
TO,2022,2905.6666666666665
