IDHM - Índice de Desenvolvimento Humano Municipal - renda 
Sigla;Código;Estado;1991;2000;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AC;12;Acre;0,574;0,612;0,671;0,67;0,67;0,669;0,674;0,66;0,655;0,676;0,668;0,668;0,655;0,674;0,665;0,684;
AL;27;Alagoas;0,527;0,574;0,641;0,627;0,629;0,645;0,636;0,637;0,631;0,637;0,636;0,645;0,63;0,663;0,669;0,691;
AM;13;Amazonas;0,605;0,608;0,677;0,683;0,683;0,683;0,673;0,654;0,672;0,655;0,658;0,657;0,641;0,671;0,678;0,68;
AP;16;Amapá;0,62;0,638;0,694;0,673;0,691;0,687;0,69;0,682;0,683;0,666;0,665;0,663;0,648;0,675;0,718;0,713;
BA;29;Bahia;0,543;0,594;0,663;0,666;0,667;0,676;0,671;0,662;0,675;0,664;0,673;0,679;0,648;0,67;0,673;0,694;
CE;23;Ceará;0,532;0,588;0,651;0,648;0,656;0,656;0,657;0,656;0,666;0,666;0,677;0,684;0,658;0,669;0,674;0,677;
DF;53;Distrito Federal;0,762;0,805;0,863;0,846;0,848;0,845;0,847;0,836;0,842;0,836;0,841;0,827;0,821;0,855;0,841;0,837;
ES;32;Espírito Santo;0,619;0,687;0,743;0,73;0,734;0,742;0,731;0,727;0,727;0,735;0,747;0,733;0,715;0,745;0,755;0,763;
GO;52;Goiás;0,633;0,686;0,742;0,73;0,74;0,739;0,731;0,724;0,735;0,735;0,729;0,722;0,714;0,754;0,763;0,763;
MA;21;Maranhão;0,478;0,531;0,612;0,602;0,607;0,61;0,613;0,615;0,616;0,613;0,614;0,621;0,603;0,642;0,648;0,658;
MG;31;Minas Gerais;0,618;0,68;0,73;0,726;0,733;0,739;0,736;0,725;0,731;0,733;0,734;0,729;0,718;0,738;0,753;0,754;
MS;50;Mato Grosso do Sul;0,641;0,687;0,74;0,729;0,735;0,742;0,726;0,741;0,738;0,75;0,752;0,744;0,733;0,765;0,764;0,766;
MT;51;Mato Grosso;0,627;0,689;0,732;0,732;0,738;0,739;0,729;0,725;0,733;0,744;0,738;0,735;0,72;0,753;0,761;0,776;
PA;15;Pará;0,567;0,601;0,646;0,658;0,66;0,66;0,656;0,646;0,647;0,667;0,651;0,664;0,645;0,674;0,692;0,692;
PB;25;Paraíba;0,515;0,582;0,656;0,649;0,655;0,671;0,678;0,663;0,682;0,672;0,672;0,664;0,653;0,678;0,698;0,696;
PE;26;Pernambuco;0,569;0,615;0,673;0,673;0,685;0,698;0,688;0,677;0,671;0,669;0,68;0,667;0,647;0,675;0,669;0,702;
PI;22;Piauí;0,488;0,556;0,635;0,635;0,666;0,665;0,668;0,655;0,653;0,658;0,657;0,659;0,649;0,685;0,699;0,695;
PR;41;Paraná;0,644;0,704;0,757;0,757;0,761;0,765;0,754;0,756;0,759;0,766;0,764;0,751;0,744;0,761;0,768;0,79;
RJ;33;Rio de Janeiro;0,696;0,745;0,782;0,756;0,757;0,764;0,758;0,761;0,757;0,774;0,783;0,77;0,759;0,776;0,788;0,789;
RN;24;Rio Grande do Norte;0,547;0,608;0,678;0,658;0,67;0,676;0,687;0,687;0,672;0,686;0,693;0,695;0,692;0,69;0,702;0,72;
RO;11;Rondônia;0,585;0,654;0,712;0,692;0,694;0,691;0,689;0,686;0,693;0,71;0,705;0,704;0,677;0,715;0,721;0,734;
RR;14;Roraima;0,643;0,652;0,695;0,717;0,723;0,712;0,719;0,714;0,697;0,723;0,696;0,68;0,68;0,68;0,711;0,713;
RS;43;Rio Grande do Sul;0,667;0,72;0,769;0,767;0,773;0,777;0,776;0,772;0,776;0,775;0,783;0,774;0,767;0,785;0,784;0,796;
SC;42;Santa Catarina;0,648;0,717;0,773;0,764;0,768;0,769;0,769;0,763;0,772;0,772;0,776;0,763;0,759;0,78;0,782;0,797;
SE;28;Sergipe;0,552;0,596;0,672;0,679;0,685;0,688;0,68;0,683;0,67;0,676;0,682;0,687;0,662;0,687;0,682;0,705;
SP;35;São Paulo;0,729;0,756;0,789;0,782;0,787;0,79;0,782;0,787;0,781;0,791;0,791;0,781;0,771;0,788;0,795;0,799;
TO;17;Tocantins;0,549;0,605;0,69;0,674;0,68;0,692;0,688;0,679;0,687;0,698;0,693;0,691;0,684;0,721;0,723;0,734;
