ano,median,mean,count
1995,15.095,17.799,28
1996,13.674,14.033,237
1997,14.065,15.176,393
1998,10.396,11.307,700
1999,10.398,11.787,743
2000,10.266,11.569,973
2001,8.828,9.691,1503
2002,8.634,9.554,1773
2003,8.283,9.117,2016
2004,8.17,8.652,2627
2005,7.867,8.579,2994
2006,6.963,7.547,4439
2007,6.86,7.497,4462
2008,6.635,7.222,4551
2009,6.127,6.711,4700
2010,5.71,6.257,4858
2011,5.676,6.239,4835
2012,5.434,5.872,4951
2013,5.359,5.78,4886
2014,5.24,5.704,4957
2015,5.267,5.608,4850
2016,5.458,5.715,4949
2017,5.468,5.756,4849
2018,5.718,6.057,4866
2019,5.851,6.212,4905
2020,5.753,6.073,4964
2021,5.739,6.112,5035
2022,5.597,5.974,5013
