ano,salario_minimo_1_jan,salario_minimo_31_dez,salario_minimo_media_ponderada_ano
1995,70.0,100.0,90.14
1996,100.0,112.0,108.03
1997,112.0,120.0,117.37
1998,120.0,130.0,126.71
1999,130.0,136.0,134.03
2000,136.0,151.0,147.19
2001,151.0,180.0,172.85
2002,180.0,200.0,195.07
2003,200.0,240.0,230.14
2004,240.0,260.0,253.39
2005,260.0,300.0,286.85
2006,300.0,350.0,337.67
2007,350.0,380.0,372.6
2008,380.0,415.0,409.26
2009,415.0,465.0,460.75
2010,510.0,510.0,510.0
2011,540.0,545.0,544.19
2012,622.0,622.0,622.0
2013,678.0,678.0,678.0
2014,724.0,724.0,724.0
2015,788.0,788.0,788.0
2016,880.0,880.0,880.0
2017,937.0,937.0,937.0
2018,954.0,954.0,954.0
2019,998.0,998.0,998.0
2020,1039.0,1045.0,1044.49
2021,1100.0,1100.0,1100.0
2022,1212.0,1212.0,1212.0
